provincia;municipio;distrito;seccion;mesa;apellido_desde;apellido_hasta;nombre_colegio;direccion
HUESCA;BARBASTRO;1;12;B;L;Z;CENTRO DE CONGRESOS;AVDA ESTACION 35
HUESCA;BARBUES;1;1;U;A;Z;ANTIGUAS ESCUELAS PUBLICAS;PLAZA ASUNCION 5
HUESCA;BARBUALES;1;1;U;A;Z;SALON MULTIUSOS;CALLE NUEVA 25
HUESCA;BARCABO;1;1;U;A;Z;CENTRO SOCIAL. BARCABO;CALLE MAYOR S/N
HUESCA;BELVER DE CINCA;1;1;A;A;F;CENTRO JOVEN;AVDA ARAGON (DE) 14
HUESCA;BELVER DE CINCA;1;1;B;G;Z;CENTRO JOVEN;AVDA ARAGON (DE) 14
HUESCA;BENABARRE;1;1;A;A;K;BIBLIOTECA MUNICIPAL;PLAZA ESCUELAS PIAS 5
HUESCA;BENABARRE;1;1;B;L;Z;BIBLIOTECA MUNICIPAL;PLAZA ESCUELAS PIAS 5
HUESCA;BENASQUE;1;1;A;A;F;CENTRO DE EDUCACION SECUNDARIA;AVDA LUCHON S/N
HUESCA;BENASQUE;1;1;B;G;M;CENTRO DE EDUCACION SECUNDARIA;AVDA LUCHON S/N
HUESCA;BENASQUE;1;1;C;N;Z;CENTRO DE EDUCACION SECUNDARIA;AVDA LUCHON S/N
HUESCA;BENASQUE;1;1;D;A;Z;LOCAL SOCIAL DE CERLER;CALLE OBISPO 39
HUESCA;BERANUY;1;1;U;A;Z;CENTRO SOCIAL DE BERANUY;CALLE CARRETERA (BERANUY) 1
HUESCA;BERBEGAL;1;1;U;A;Z;BAJOS DE LA CASA CONSISTORIAL;PLAZA CONSTITUCION 1
HUESCA;BIELSA;1;1;U;A;Z;"GRUPO ESCOLAR AULA ""2""";CALLE CALVARIO S/N
HUESCA;BIERGE;1;1;U;A;Z;ESCUELAS;CALLE TRAVIESA 1
HUESCA;BIESCAS;1;1;A;A;G;CENTRO CULTURAL PABLO NERUDA;CALLE RAMON Y CAJAL 1
HUESCA;BIESCAS;1;1;B;H;Z;CENTRO CULTURAL PABLO NERUDA;CALLE RAMON Y CAJAL 1
HUESCA;BINACED;1;1;A;A;G;LOCAL SOCIAL;PLAZA ARAGON 12
HUESCA;BINACED;1;1;B;H;Z;LOCAL SOCIAL;PLAZA ARAGON 12
HUESCA;BINEFAR;1;1;A;A;F;"ANTIGUO PARVULARIO ""EL SEGALAR""";CALLE MONZON 88
HUESCA;BINEFAR;1;1;B;G;N;"ANTIGUO PARVULARIO ""EL SEGALAR""";CALLE MONZON 88
HUESCA;BINEFAR;1;1;C;O;Z;"ANTIGUO PARVULARIO ""EL SEGALAR""";CALLE MONZON 88
HUESCA;BINEFAR;1;2;A;A;F;EDIFICIO MUNICIPAL. OFICINAS;CALLE GALILEO 7
HUESCA;BINEFAR;1;2;B;G;M;EDIFICIO MUNICIPAL. OFICINAS;CALLE GALILEO 7
HUESCA;BINEFAR;1;2;C;N;Z;EDIFICIO MUNICIPAL. OFICINAS;CALLE GALILEO 7
HUESCA;BINEFAR;1;3;A;A;E;COLEGIO P. VICTOR MENDOZA;CALLE ALMACELLAS 33
HUESCA;BINEFAR;1;3;B;F;M;COLEGIO P. VICTOR MENDOZA;CALLE ALMACELLAS 33
HUESCA;BINEFAR;1;3;C;N;Z;COLEGIO P. VICTOR MENDOZA;CALLE ALMACELLAS 33
HUESCA;BINEFAR;1;4;A;A;E;CASA CONSISTORIAL;PLAZA ESPAA 1
HUESCA;BINEFAR;1;4;B;F;M;CASA CONSISTORIAL;PLAZA ESPAA 1
HUESCA;BINEFAR;1;4;C;N;Z;CASA CONSISTORIAL;PLAZA ESPAA 1
HUESCA;BISAURRI;1;1;U;A;Z;SALON SOCIAL AYUNTAMIENTO DE BISAURRI;CALLE ALBASINI S/N
HUESCA;BISCARRUES;1;1;U;A;Z;SALON DE ACTOS ESCUELAS;CALLE ESCUELAS 2
HUESCA;BLECUA Y TORRES;1;1;U;A;Z;EDIF.AYUNT.BLECUA TORRES PLANTA BAJA;CALLE SANTA ANA S/N
HUESCA;BOLTAA;1;1;A;A;K;PALACIO DE CONGRESOS DE BOLTAA;AVDA LUIS FATAS 26
HUESCA;BOLTAA;1;1;B;L;Z;PALACIO DE CONGRESOS DE BOLTAA;AVDA LUIS FATAS 26
HUESCA;BONANSA;1;1;U;A;Z;CASA CONSISTORIAL (TELECENTRO);CALLE LA COSTERA 3
HUESCA;BORAU;1;1;U;A;Z;AYUNTAMIENTO DE BORAU;PLAZA AYUNTAMIENTO 1
HUESCA;BROTO;1;1;U;A;Z;SALON DE ACTOS DEL AYUNTAMIENTO;AVDA ORDESA 1
HUESCA;CALDEARENAS;1;1;U;A;Z;LOCAL DE LA CASA AYUNTAMIENTO;CALLE ESTACION 7
HUESCA;CAMPO;1;1;U;A;Z;LOCALES DEL AYUNTAMIENTO;PLAZA CABOVILA 1
HUESCA;CAMPORRELLS;1;1;U;A;Z;LOCAL ANEXO AYUNTAMIENTO;PASEO JOSE PERISE 8
HUESCA;CANAL DE BERDUN;1;1;U;A;Z;CENTRO DE DIA DE BERDUN PLANTA BAJA;CALLE HORNO (DEL) (BERDUN) 12
HUESCA;CANDASNOS;1;1;U;A;Z;LOCAL DE LA TERCERA EDAD;CALLE SAN ISIDRO 17
HUESCA;CANFRANC;1;1;U;A;Z;PABELLON DEPORTIVO MUNICIPAL;PLAZA FORESTALES (DE) 1
HUESCA;CAPDESASO;1;1;U;A;Z;BIBLIOTECA MUNICIPAL;PLAZA AYUNTAMIENTO 5
HUESCA;CAPELLA;1;1;U;A;Z;LOCAL SOCIAL;CALLE IGLESIA 2
HUESCA;CASBAS DE HUESCA;1;1;U;A;Z;AYUNTAMIENTO DE CASBAS;PLAZA SAN NICOLAS 2
HUESCA;CASTEJON DE MONEGROS;1;1;U;A;Z;EDIFICIO MUNICIPAL DEL POLIVALENTE;PLAZA RECREO S/N
HUESCA;CASTEJON DE SOS;1;1;A;A;L;COLEGIO PUBLICO;PLAZA CONSTITUCION (LA) 2
HUESCA;CASTEJON DE SOS;1;1;B;M;Z;COLEGIO PUBLICO;PLAZA CONSTITUCION (LA) 2
HUESCA;CASTEJON DEL PUENTE;1;1;U;A;Z;SALON DE ACTOS DE LA CASA CONSISTORIAL;CALLE DEL CONCEJO 1
HUESCA;CASTELFLORITE;1;1;U;A;Z;LOCAL MUNICIPAL;PLAZA CONSTITUCION 6
HUESCA;CASTIELLO DE JACA;1;1;U;A;Z;BAJOS AYUNTAMIENTO;PLAZA SAN MARTIN S/N
HUESCA;CASTIGALEU;1;1;U;A;Z;"EDIFICIO MUNICIPAL ""ANTIGUO COLEGIO""";PLAZA MAYOR 1
HUESCA;CASTILLAZUELO;1;1;U;A;Z;EDIF.MULTIUSOS EL SINDICATO BAJOS DCHA;PLCET DEL SINDICATO 4
HUESCA;CASTILLONROY;1;1;U;A;Z;ESCUELA NACIONAL;CALLE GUERAU PON S/N
HUESCA;CHALAMERA;1;1;U;A;Z;BAJOS CASA CONSISTORIAL;CALLE MAYOR 12
HUESCA;CHIA;1;1;U;A;Z;SALON SOCIAL;PLAZA MAYOR S/N
HUESCA;CHIMILLAS;1;1;U;A;Z;LUDOTECA MUNICIPAL;CALLE IGLESIA 4
HUESCA;COLUNGO;1;1;U;A;Z;CENTRO SOCIAL. COLUNGO;CALLE PLAZA S/N
HUESCA;ESPLUS;1;1;U;A;Z;LOCAL SOCIAL;PLAZA ESCUELAS 1
HUESCA;ESTADA;1;1;U;A;Z;CASA CONSISTORIAL. PLANTA BAJA;CALLE MAYOR 1
HUESCA;ESTADILLA;1;1;U;A;Z;"ESPACIO CULTURAL ""BUERO""-SALON DE ACTOS";CALLE NUEVA 3
HUESCA;ESTOPIAN DEL CASTILLO;1;1;U;A;Z;SALA SOCIAL;CALLE MAYOR 5
HUESCA;FAGO;1;1;U;A;Z;SALON DE ACTOS DEL AYUNTAMIENTO;CALLE FUENTE (LA) S/N
HUESCA;FANLO;1;1;U;A;Z;SALON DEL AYUNTAMIENTO;CALLE UNICA S/N
HUESCA;FISCAL;1;1;U;A;Z;EDIFICIO ESCOLAR DE FISCAL;AVDA JESUS 5
HUESCA;FONZ;1;1;U;A;Z;AYUNTAMIENTO DE FONZ;PLAZA MAYOR (LA PLLAZA) 3
HUESCA;FORADADA DEL TOSCAR;1;1;U;A;Z;CENTRO SOCIAL. MORILLO DE LIENA;CALLE SAN SEBASTIAN S/N
HUESCA;FRAGA;1;1;U;A;Z;CENTRO CULTURAL MONTCADA;CALLE SAN JOSE DE CALASANZ 12
HUESCA;FRAGA;1;2;A;A;K;CENTRE EDUCATIU LES MONGES;CALLE AIRETAS DE LAS 17
HUESCA;FRAGA;1;2;B;L;Z;CENTRE EDUCATIU LES MONGES;CALLE AIRETAS DE LAS 17
HUESCA;FRAGA;1;3;U;A;Z;EDIFICIO ADMINISTRATIVO DEL AYUNTAMIENTO;PASEO BARRON -CEGONYER- 11
HUESCA;FRAGA;1;4;U;A;Z;OFICINA DE TURISMO M.I.AYUNT.DE FRAGA;PASEO BARRON -CEGONYER- 5
HUESCA;FRAGA;1;5;A;A;K;COLEGIO PUBLICO SAN JOSE DE CALASANZ;AVDA DEPORTES DE LOS S/N
HUESCA;FRAGA;1;5;B;L;Z;COLEGIO PUBLICO SAN JOSE DE CALASANZ;AVDA DEPORTES DE LOS S/N
HUESCA;FRAGA;1;6;A;A;L;I.E.S. BAJO CINCA;CALLE RIO CINCA DEL S/N
HUESCA;FRAGA;1;6;B;M;Z;I.E.S. BAJO CINCA;CALLE RIO CINCA DEL S/N
HUESCA;FRAGA;1;7;U;A;Z;COLEGIO PUBLICO SAN JOSE DE CALASANZ;AVDA DEPORTES DE LOS S/N
HUESCA;FRAGA;1;8;A;A;E;SEDE COMARCA DEL BAJO CINCA/BAIX CINCA;CALLE MANUEL ALABART 23
HUESCA;FRAGA;1;8;B;F;N;SEDE COMARCA DEL BAJO CINCA/BAIX CINCA;CALLE MANUEL ALABART 23
HUESCA;FRAGA;1;8;C;O;Z;SEDE COMARCA DEL BAJO CINCA/BAIX CINCA;CALLE MANUEL ALABART 23
HUESCA;FRAGA;1;9;A;A;K;COLEGIO PUBLICO MARIA MOLINER;CALLE VALLE DE PINETA 2
HUESCA;FRAGA;1;9;B;L;Z;COLEGIO PUBLICO MARIA MOLINER;CALLE VALLE DE PINETA 2
HUESCA;FRAGA;1;10;A;A;K;COLEGIO PUBLICO SAN JOSE DE CALASANZ;AVDA DEPORTES DE LOS S/N
HUESCA;FRAGA;1;10;B;L;Z;COLEGIO PUBLICO SAN JOSE DE CALASANZ;AVDA DEPORTES DE LOS S/N
HUESCA;FUEVA (LA);1;1;U;A;Z;ESCUELAS PUBLICAS-TIERRANTONA;CALLE FUENTE (LA) S/N
HUESCA;GISTAIN;1;1;U;A;Z;AYUNTAMIENTO-GISTAIN;CALLE MAYOR 4
HUESCA;GRADO (EL);1;1;U;A;Z;CENTRO SOCIAL;CALLE MAYOR 1
HUESCA;GRAEN;1;1;A;A;Z;CENTRO SOCIAL DE CURBE;PLAZA ESPAA 7
HUESCA;GRAEN;1;1;B;A;Z;LOCAL AYUNTAMIENTO. MONTESUSIN;PLAZA ESPAA 1
HUESCA;GRAEN;1;1;C;A;K;POLIDEPORTIVO MUNICIPAL;PLAZA EUROPA (DE) S/N
HUESCA;GRAEN;1;1;D;L;Z;POLIDEPORTIVO MUNICIPAL;PLAZA EUROPA (DE) S/N
HUESCA;GRAUS;1;1;A;A;K;COLEGIO PUBLICO JOAQUIN COSTA;CALLE ANGEL SAMBLANCAT 10
HUESCA;GRAUS;1;1;B;L;Z;COLEGIO PUBLICO JOAQUIN COSTA;CALLE ANGEL SAMBLANCAT 10
HUESCA;GRAUS;1;1;C;A;Z;COLEGIO PUBLICO JOAQUIN COSTA;CALLE ANGEL SAMBLANCAT 10
HUESCA;GRAUS;1;2;A;A;J;COLEGIO PUBLICO JOAQUIN COSTA;CALLE ANGEL SAMBLANCAT 10
HUESCA;GRAUS;1;2;B;K;Z;COLEGIO PUBLICO JOAQUIN COSTA;CALLE ANGEL SAMBLANCAT 10
HUESCA;GURREA DE GALLEGO;1;1;A;A;Z;ESCUELAS DE EL TEMPLE;CALLE ESCUELAS 1
HUESCA;GURREA DE GALLEGO;1;1;B;A;L;ESCUELAS;CALLE CERVANTES 1
HUESCA;GURREA DE GALLEGO;1;1;C;M;Z;ESCUELAS;CALLE CERVANTES 1
HUESCA;HOZ DE JACA;1;1;U;A;Z;SALON SOCIAL AYUNTAMIENTO;CALLE DE LA TORRE 2
HUESCA;HOZ Y COSTEAN;1;1;U;A;Z;CASA CONSISTORIAL;CALLE CARRETERA S/N
HUESCA;HUERTO;1;1;U;A;Z;SALON BAJOS CASA CONSISTORIAL;CALLE MIGUEL SERVET 3
HUESCA;HUESCA;1;1;A;A;J;AYUNTAMIENTO-BAJOS;PLAZA CATEDRAL 1
HUESCA;HUESCA;1;1;B;K;Z;AYUNTAMIENTO-BAJOS;PLAZA CATEDRAL 1
HUESCA;HUESCA;1;2;A;A;K;AYUNTAMIENTO-BAJOS;PLAZA CATEDRAL 1
HUESCA;HUESCA;1;2;B;L;Z;AYUNTAMIENTO-BAJOS;PLAZA CATEDRAL 1
HUESCA;HUESCA;1;3;U;A;Z;AYUNTAMIENTO-BAJOS;PLAZA CATEDRAL 1
HUESCA;HUESCA;2;1;A;A;K;COLEGIO PUBLICO SAN VICENTE;PLAZA SAN VICENTE 1
HUESCA;HUESCA;2;1;B;L;Z;COLEGIO PUBLICO SAN VICENTE;PLAZA SAN VICENTE 1
HUESCA;HUESCA;2;2;A;A;K;COLEGIO PUBLICO SAN VICENTE;PLAZA SAN VICENTE 1
HUESCA;HUESCA;2;2;B;L;Z;COLEGIO PUBLICO SAN VICENTE;PLAZA SAN VICENTE 1
HUESCA;HUESCA;2;3;U;A;Z;COLEGIO PUBLICO SAN VICENTE;PLAZA SAN VICENTE 1
HUESCA;HUESCA;2;4;A;A;J;POLIDEPORTIVO COLEGIO SANCHO RAMIREZ;CALLE OBISPO RAM 1
HUESCA;HUESCA;2;4;B;K;Z;POLIDEPORTIVO COLEGIO SANCHO RAMIREZ;CALLE OBISPO RAM 1
HUESCA;HUESCA;2;5;A;A;K;POLIDEPORTIVO COLEGIO SANCHO RAMIREZ;CALLE OBISPO RAM 1
HUESCA;HUESCA;2;5;B;L;Z;POLIDEPORTIVO COLEGIO SANCHO RAMIREZ;CALLE OBISPO RAM 1
HUESCA;HUESCA;2;6;U;A;Z;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;1;A;A;K;POLIDEPORTIVO COLEGIO SANCHO RAMIREZ;CALLE OBISPO RAM 1
HUESCA;HUESCA;3;1;B;L;Z;POLIDEPORTIVO COLEGIO SANCHO RAMIREZ;CALLE OBISPO RAM 1
HUESCA;HUESCA;3;2;U;A;Z;POLIDEPORTIVO COLEGIO SANCHO RAMIREZ;CALLE OBISPO RAM 1
HUESCA;HUESCA;3;3;A;A;J;BAJOS DEL CIRCULO OSCENSE;PLAZA NAVARRA 4
HUESCA;HUESCA;3;3;B;K;Z;BAJOS DEL CIRCULO OSCENSE;PLAZA NAVARRA 4
HUESCA;HUESCA;3;4;A;A;K;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;4;B;L;Z;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;5;A;A;K;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;5;B;L;Z;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;6;A;A;F;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;6;B;G;M;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;6;C;N;Z;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;7;A;A;K;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;7;B;L;Z;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;8;A;A;K;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;8;B;L;Z;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;9;A;A;H;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;3;9;B;I;Z;POLIDEPORTIVO DEL COLEGIO PEDRO J.RUBIO;CALLE OLIVOS (DE LOS) 2
HUESCA;HUESCA;4;1;A;A;E;POLIDEPORTIVO DEL COLEGIO PIO XII;CALLE PIO XII 2
HUESCA;HUESCA;4;1;B;F;M;POLIDEPORTIVO DEL COLEGIO PIO XII;CALLE PIO XII 2
HUESCA;HUESCA;4;1;C;N;Z;POLIDEPORTIVO DEL COLEGIO PIO XII;CALLE PIO XII 2
HUESCA;HUESCA;4;2;U;A;Z;POLIDEPORTIVO DEL COLEGIO PIO XII;CALLE PIO XII 2
HUESCA;HUESCA;4;3;A;A;G;POLIDEPORTIVO DEL COLEGIO PIO XII;CALLE PIO XII 2
HUESCA;HUESCA;4;3;B;H;Z;POLIDEPORTIVO DEL COLEGIO PIO XII;CALLE PIO XII 2
HUESCA;HUESCA;4;4;A;A;I;POLIDEPORTIVO DEL COLEGIO PIO XII;CALLE PIO XII 2
HUESCA;HUESCA;4;4;B;J;Z;POLIDEPORTIVO DEL COLEGIO PIO XII;CALLE PIO XII 2
HUESCA;HUESCA;5;1;A;A;E;POLIDEPORTIVO COLEGIO PUBLICO ALCORAZ;CALLE BINEFAR 5
HUESCA;HUESCA;5;1;B;F;M;POLIDEPORTIVO COLEGIO PUBLICO ALCORAZ;CALLE BINEFAR 5
HUESCA;HUESCA;5;1;C;N;Z;POLIDEPORTIVO COLEGIO PUBLICO ALCORAZ;CALLE BINEFAR 5
HUESCA;HUESCA;5;2;A;A;K;POLIDEPORTIVO COLEGIO PUBLICO ALCORAZ;CALLE BINEFAR 5
HUESCA;HUESCA;5;2;B;L;Z;POLIDEPORTIVO COLEGIO PUBLICO ALCORAZ;CALLE BINEFAR 5
HUESCA;HUESCA;6;1;A;A;E;POLIDEPORTIVO DEL COLEGIO JUAN XXIII;CALLE SANTO CRISTO DE LOS MILAGROS 21
HUESCA;HUESCA;6;1;B;F;M;POLIDEPORTIVO DEL COLEGIO JUAN XXIII;CALLE SANTO CRISTO DE LOS MILAGROS 21
HUESCA;HUESCA;6;1;C;N;Z;POLIDEPORTIVO DEL COLEGIO JUAN XXIII;CALLE SANTO CRISTO DE LOS MILAGROS 21
HUESCA;HUESCA;6;2;U;A;Z;POLIDEPORTIVO DEL I.E.S. RAMON Y CAJAL;CALLE MENENDEZ PIDAL 20
HUESCA;HUESCA;6;3;A;A;J;POLIDEPORTIVO DEL I.E.S. RAMON Y CAJAL;CALLE MENENDEZ PIDAL 20
HUESCA;HUESCA;6;3;B;K;Z;POLIDEPORTIVO DEL I.E.S. RAMON Y CAJAL;CALLE MENENDEZ PIDAL 20
